realtime_start,value,realtime_end,date
2019-02-17,130683,2019-02-17,1992-01-01
2019-02-17,131244,2019-02-17,1992-02-01
2019-02-17,142488,2019-02-17,1992-03-01
2019-02-17,147175,2019-02-17,1992-04-01
2019-02-17,152420,2019-02-17,1992-05-01
2019-02-17,151849,2019-02-17,1992-06-01
2019-02-17,152586,2019-02-17,1992-07-01
2019-02-17,152476,2019-02-17,1992-08-01
2019-02-17,148158,2019-02-17,1992-09-01
2019-02-17,155987,2019-02-17,1992-10-01
2019-02-17,154824,2019-02-17,1992-11-01
2019-02-17,191347,2019-02-17,1992-12-01
2019-02-17,137020,2019-02-17,1993-01-01
2019-02-17,134462,2019-02-17,1993-02-01
2019-02-17,153025,2019-02-17,1993-03-01
2019-02-17,158615,2019-02-17,1993-04-01
2019-02-17,163519,2019-02-17,1993-05-01
2019-02-17,162964,2019-02-17,1993-06-01
2019-02-17,164590,2019-02-17,1993-07-01
2019-02-17,163989,2019-02-17,1993-08-01
2019-02-17,159298,2019-02-17,1993-09-01
2019-02-17,163992,2019-02-17,1993-10-01
2019-02-17,169980,2019-02-17,1993-11-01
2019-02-17,206174,2019-02-17,1993-12-01
2019-02-17,145276,2019-02-17,1994-01-01
2019-02-17,146332,2019-02-17,1994-02-01
2019-02-17,173562,2019-02-17,1994-03-01
2019-02-17,170795,2019-02-17,1994-04-01
2019-02-17,175527,2019-02-17,1994-05-01
2019-02-17,178509,2019-02-17,1994-06-01
2019-02-17,173198,2019-02-17,1994-07-01
2019-02-17,182445,2019-02-17,1994-08-01
2019-02-17,175128,2019-02-17,1994-09-01
2019-02-17,178642,2019-02-17,1994-10-01
2019-02-17,184272,2019-02-17,1994-11-01
2019-02-17,221549,2019-02-17,1994-12-01
2019-02-17,158004,2019-02-17,1995-01-01
2019-02-17,155156,2019-02-17,1995-02-01
2019-02-17,181910,2019-02-17,1995-03-01
2019-02-17,176635,2019-02-17,1995-04-01
2019-02-17,190269,2019-02-17,1995-05-01
2019-02-17,191609,2019-02-17,1995-06-01
2019-02-17,182909,2019-02-17,1995-07-01
2019-02-17,193370,2019-02-17,1995-08-01
2019-02-17,182521,2019-02-17,1995-09-01
2019-02-17,184276,2019-02-17,1995-10-01
2019-02-17,193405,2019-02-17,1995-11-01
2019-02-17,227552,2019-02-17,1995-12-01
2019-02-17,167372,2019-02-17,1996-01-01
2019-02-17,173941,2019-02-17,1996-02-01
2019-02-17,191851,2019-02-17,1996-03-01
2019-02-17,191886,2019-02-17,1996-04-01
2019-02-17,205797,2019-02-17,1996-05-01
2019-02-17,196842,2019-02-17,1996-06-01
2019-02-17,197140,2019-02-17,1996-07-01
2019-02-17,204270,2019-02-17,1996-08-01
2019-02-17,189424,2019-02-17,1996-09-01
2019-02-17,201927,2019-02-17,1996-10-01
2019-02-17,203621,2019-02-17,1996-11-01
2019-02-17,237478,2019-02-17,1996-12-01
2019-02-17,181073,2019-02-17,1997-01-01
2019-02-17,178428,2019-02-17,1997-02-01
2019-02-17,203750,2019-02-17,1997-03-01
2019-02-17,199219,2019-02-17,1997-04-01
2019-02-17,211516,2019-02-17,1997-05-01
2019-02-17,205491,2019-02-17,1997-06-01
2019-02-17,208856,2019-02-17,1997-07-01
2019-02-17,211952,2019-02-17,1997-08-01
2019-02-17,201415,2019-02-17,1997-09-01
2019-02-17,210145,2019-02-17,1997-10-01
2019-02-17,207533,2019-02-17,1997-11-01
2019-02-17,249389,2019-02-17,1997-12-01
2019-02-17,187445,2019-02-17,1998-01-01
2019-02-17,183767,2019-02-17,1998-02-01
2019-02-17,207973,2019-02-17,1998-03-01
2019-02-17,212262,2019-02-17,1998-04-01
2019-02-17,221155,2019-02-17,1998-05-01
2019-02-17,220867,2019-02-17,1998-06-01
2019-02-17,217687,2019-02-17,1998-07-01
2019-02-17,216605,2019-02-17,1998-08-01
2019-02-17,208915,2019-02-17,1998-09-01
2019-02-17,220499,2019-02-17,1998-10-01
2019-02-17,218969,2019-02-17,1998-11-01
2019-02-17,265618,2019-02-17,1998-12-01
2019-02-17,196810,2019-02-17,1999-01-01
2019-02-17,199451,2019-02-17,1999-02-01
2019-02-17,230230,2019-02-17,1999-03-01
2019-02-17,227109,2019-02-17,1999-04-01
2019-02-17,237462,2019-02-17,1999-05-01
2019-02-17,236830,2019-02-17,1999-06-01
2019-02-17,236992,2019-02-17,1999-07-01
2019-02-17,240478,2019-02-17,1999-08-01
2019-02-17,230665,2019-02-17,1999-09-01
2019-02-17,233193,2019-02-17,1999-10-01
2019-02-17,240857,2019-02-17,1999-11-01
2019-02-17,293013,2019-02-17,1999-12-01
2019-02-17,213709,2019-02-17,2000-01-01
2019-02-17,227087,2019-02-17,2000-02-01
2019-02-17,253717,2019-02-17,2000-03-01
2019-02-17,239051,2019-02-17,2000-04-01
2019-02-17,257581,2019-02-17,2000-05-01
2019-02-17,255066,2019-02-17,2000-06-01
2019-02-17,244445,2019-02-17,2000-07-01
2019-02-17,257487,2019-02-17,2000-08-01
2019-02-17,243624,2019-02-17,2000-09-01
2019-02-17,245167,2019-02-17,2000-10-01
2019-02-17,252145,2019-02-17,2000-11-01
2019-02-17,294197,2019-02-17,2000-12-01
2019-02-17,226791,2019-02-17,2001-01-01
2019-02-17,223971,2019-02-17,2001-02-01
2019-02-17,253439,2019-02-17,2001-03-01
2019-02-17,249062,2019-02-17,2001-04-01
2019-02-17,268658,2019-02-17,2001-05-01
2019-02-17,260315,2019-02-17,2001-06-01
2019-02-17,251504,2019-02-17,2001-07-01
2019-02-17,266460,2019-02-17,2001-08-01
2019-02-17,236210,2019-02-17,2001-09-01
2019-02-17,265188,2019-02-17,2001-10-01
2019-02-17,262004,2019-02-17,2001-11-01
2019-02-17,298666,2019-02-17,2001-12-01
2019-02-17,230546,2019-02-17,2002-01-01
2019-02-17,228084,2019-02-17,2002-02-01
2019-02-17,257133,2019-02-17,2002-03-01
2019-02-17,257357,2019-02-17,2002-04-01
2019-02-17,271682,2019-02-17,2002-05-01
2019-02-17,260385,2019-02-17,2002-06-01
2019-02-17,266795,2019-02-17,2002-07-01
2019-02-17,277716,2019-02-17,2002-08-01
2019-02-17,246350,2019-02-17,2002-09-01
2019-02-17,259945,2019-02-17,2002-10-01
2019-02-17,263738,2019-02-17,2002-11-01
2019-02-17,308821,2019-02-17,2002-12-01
2019-02-17,242271,2019-02-17,2003-01-01
2019-02-17,233478,2019-02-17,2003-02-01
2019-02-17,264532,2019-02-17,2003-03-01
2019-02-17,265990,2019-02-17,2003-04-01
2019-02-17,281482,2019-02-17,2003-05-01
2019-02-17,271242,2019-02-17,2003-06-01
2019-02-17,279323,2019-02-17,2003-07-01
2019-02-17,285212,2019-02-17,2003-08-01
2019-02-17,265331,2019-02-17,2003-09-01
2019-02-17,273781,2019-02-17,2003-10-01
2019-02-17,272396,2019-02-17,2003-11-01
2019-02-17,327693,2019-02-17,2003-12-01
2019-02-17,252818,2019-02-17,2004-01-01
2019-02-17,253689,2019-02-17,2004-02-01
2019-02-17,287944,2019-02-17,2004-03-01
2019-02-17,284325,2019-02-17,2004-04-01
2019-02-17,296253,2019-02-17,2004-05-01
2019-02-17,289664,2019-02-17,2004-06-01
2019-02-17,294875,2019-02-17,2004-07-01
2019-02-17,294133,2019-02-17,2004-08-01
2019-02-17,282974,2019-02-17,2004-09-01
2019-02-17,287468,2019-02-17,2004-10-01
2019-02-17,294278,2019-02-17,2004-11-01
2019-02-17,354627,2019-02-17,2004-12-01
2019-02-17,263469,2019-02-17,2005-01-01
2019-02-17,265320,2019-02-17,2005-02-01
2019-02-17,306384,2019-02-17,2005-03-01
2019-02-17,302054,2019-02-17,2005-04-01
2019-02-17,311292,2019-02-17,2005-05-01
2019-02-17,317375,2019-02-17,2005-06-01
2019-02-17,316887,2019-02-17,2005-07-01
2019-02-17,321409,2019-02-17,2005-08-01
2019-02-17,300439,2019-02-17,2005-09-01
2019-02-17,302213,2019-02-17,2005-10-01
2019-02-17,311715,2019-02-17,2005-11-01
2019-02-17,370726,2019-02-17,2005-12-01
2019-02-17,286152,2019-02-17,2006-01-01
2019-02-17,282417,2019-02-17,2006-02-01
2019-02-17,326153,2019-02-17,2006-03-01
2019-02-17,316526,2019-02-17,2006-04-01
2019-02-17,337393,2019-02-17,2006-05-01
2019-02-17,330844,2019-02-17,2006-06-01
2019-02-17,325905,2019-02-17,2006-07-01
2019-02-17,339155,2019-02-17,2006-08-01
2019-02-17,310775,2019-02-17,2006-09-01
2019-02-17,312976,2019-02-17,2006-10-01
2019-02-17,323089,2019-02-17,2006-11-01
2019-02-17,380188,2019-02-17,2006-12-01
2019-02-17,295284,2019-02-17,2007-01-01
2019-02-17,290065,2019-02-17,2007-02-01
2019-02-17,335917,2019-02-17,2007-03-01
2019-02-17,321981,2019-02-17,2007-04-01
2019-02-17,353201,2019-02-17,2007-05-01
2019-02-17,338189,2019-02-17,2007-06-01
2019-02-17,333815,2019-02-17,2007-07-01
2019-02-17,349191,2019-02-17,2007-08-01
2019-02-17,317145,2019-02-17,2007-09-01
2019-02-17,331073,2019-02-17,2007-10-01
2019-02-17,341848,2019-02-17,2007-11-01
2019-02-17,387473,2019-02-17,2007-12-01
2019-02-17,307576,2019-02-17,2008-01-01
2019-02-17,308171,2019-02-17,2008-02-01
2019-02-17,334416,2019-02-17,2008-03-01
2019-02-17,331002,2019-02-17,2008-04-01
2019-02-17,357277,2019-02-17,2008-05-01
2019-02-17,339791,2019-02-17,2008-06-01
2019-02-17,344158,2019-02-17,2008-07-01
2019-02-17,342443,2019-02-17,2008-08-01
2019-02-17,313308,2019-02-17,2008-09-01
2019-02-17,311422,2019-02-17,2008-10-01
2019-02-17,299238,2019-02-17,2008-11-01
2019-02-17,346513,2019-02-17,2008-12-01
2019-02-17,273998,2019-02-17,2009-01-01
2019-02-17,264465,2019-02-17,2009-02-01
2019-02-17,290068,2019-02-17,2009-03-01
2019-02-17,292041,2019-02-17,2009-04-01
2019-02-17,307481,2019-02-17,2009-05-01
2019-02-17,306050,2019-02-17,2009-06-01
2019-02-17,308847,2019-02-17,2009-07-01
2019-02-17,314505,2019-02-17,2009-08-01
2019-02-17,288071,2019-02-17,2009-09-01
2019-02-17,300360,2019-02-17,2009-10-01
2019-02-17,303850,2019-02-17,2009-11-01
2019-02-17,362735,2019-02-17,2009-12-01
2019-02-17,279044,2019-02-17,2010-01-01
2019-02-17,275566,2019-02-17,2010-02-01
2019-02-17,321305,2019-02-17,2010-03-01
2019-02-17,316940,2019-02-17,2010-04-01
2019-02-17,324820,2019-02-17,2010-05-01
2019-02-17,319183,2019-02-17,2010-06-01
2019-02-17,320915,2019-02-17,2010-07-01
2019-02-17,322319,2019-02-17,2010-08-01
2019-02-17,307638,2019-02-17,2010-09-01
2019-02-17,315059,2019-02-17,2010-10-01
2019-02-17,328381,2019-02-17,2010-11-01
2019-02-17,386878,2019-02-17,2010-12-01
2019-02-17,298626,2019-02-17,2011-01-01
2019-02-17,299920,2019-02-17,2011-02-01
2019-02-17,345052,2019-02-17,2011-03-01
2019-02-17,339014,2019-02-17,2011-04-01
2019-02-17,348979,2019-02-17,2011-05-01
2019-02-17,346620,2019-02-17,2011-06-01
2019-02-17,341381,2019-02-17,2011-07-01
2019-02-17,352224,2019-02-17,2011-08-01
2019-02-17,333642,2019-02-17,2011-09-01
2019-02-17,337067,2019-02-17,2011-10-01
2019-02-17,351517,2019-02-17,2011-11-01
2019-02-17,408910,2019-02-17,2011-12-01
2019-02-17,315540,2019-02-17,2012-01-01
2019-02-17,331470,2019-02-17,2012-02-01
2019-02-17,368502,2019-02-17,2012-03-01
2019-02-17,349194,2019-02-17,2012-04-01
2019-02-17,373129,2019-02-17,2012-05-01
2019-02-17,356083,2019-02-17,2012-06-01
2019-02-17,351520,2019-02-17,2012-07-01
2019-02-17,372986,2019-02-17,2012-08-01
2019-02-17,342582,2019-02-17,2012-09-01
2019-02-17,355823,2019-02-17,2012-10-01
2019-02-17,368593,2019-02-17,2012-11-01
2019-02-17,416807,2019-02-17,2012-12-01
2019-02-17,333792,2019-02-17,2013-01-01
2019-02-17,332491,2019-02-17,2013-02-01
2019-02-17,374153,2019-02-17,2013-03-01
2019-02-17,362978,2019-02-17,2013-04-01
2019-02-17,389694,2019-02-17,2013-05-01
2019-02-17,369264,2019-02-17,2013-06-01
2019-02-17,376921,2019-02-17,2013-07-01
2019-02-17,388107,2019-02-17,2013-08-01
2019-02-17,352558,2019-02-17,2013-09-01
2019-02-17,369657,2019-02-17,2013-10-01
2019-02-17,378499,2019-02-17,2013-11-01
2019-02-17,430336,2019-02-17,2013-12-01
2019-02-17,340412,2019-02-17,2014-01-01
2019-02-17,337329,2019-02-17,2014-02-01
2019-02-17,383421,2019-02-17,2014-03-01
2019-02-17,383809,2019-02-17,2014-04-01
2019-02-17,408222,2019-02-17,2014-05-01
2019-02-17,385429,2019-02-17,2014-06-01
2019-02-17,394582,2019-02-17,2014-07-01
2019-02-17,401234,2019-02-17,2014-08-01
2019-02-17,374272,2019-02-17,2014-09-01
2019-02-17,388210,2019-02-17,2014-10-01
2019-02-17,391317,2019-02-17,2014-11-01
2019-02-17,451203,2019-02-17,2014-12-01
2019-02-17,350026,2019-02-17,2015-01-01
2019-02-17,341415,2019-02-17,2015-02-01
2019-02-17,392786,2019-02-17,2015-03-01
2019-02-17,387261,2019-02-17,2015-04-01
2019-02-17,409288,2019-02-17,2015-05-01
2019-02-17,397687,2019-02-17,2015-06-01
2019-02-17,406368,2019-02-17,2015-07-01
2019-02-17,404720,2019-02-17,2015-08-01
2019-02-17,382001,2019-02-17,2015-09-01
2019-02-17,392585,2019-02-17,2015-10-01
2019-02-17,396462,2019-02-17,2015-11-01
2019-02-17,465394,2019-02-17,2015-12-01
2019-02-17,352051,2019-02-17,2016-01-01
2019-02-17,363761,2019-02-17,2016-02-01
2019-02-17,405542,2019-02-17,2016-03-01
2019-02-17,395307,2019-02-17,2016-04-01
2019-02-17,413617,2019-02-17,2016-05-01
2019-02-17,410538,2019-02-17,2016-06-01
2019-02-17,406480,2019-02-17,2016-07-01
2019-02-17,417129,2019-02-17,2016-08-01
2019-02-17,394843,2019-02-17,2016-09-01
2019-02-17,397923,2019-02-17,2016-10-01
2019-02-17,415102,2019-02-17,2016-11-01
2019-02-17,484041,2019-02-17,2016-12-01
2019-02-17,369883,2019-02-17,2017-01-01
2019-02-17,366697,2019-02-17,2017-02-01
2019-02-17,424836,2019-02-17,2017-03-01
2019-02-17,409718,2019-02-17,2017-04-01
2019-02-17,437604,2019-02-17,2017-05-01
2019-02-17,426090,2019-02-17,2017-06-01
2019-02-17,419913,2019-02-17,2017-07-01
2019-02-17,434961,2019-02-17,2017-08-01
2019-02-17,415471,2019-02-17,2017-09-01
2019-02-17,421000,2019-02-17,2017-10-01
2019-02-17,445632,2019-02-17,2017-11-01
2019-02-17,501921,2019-02-17,2017-12-01
2019-02-17,391584,2019-02-17,2018-01-01
2019-02-17,384117,2019-02-17,2018-02-01
2019-02-17,449698,2019-02-17,2018-03-01
2019-02-17,424946,2019-02-17,2018-04-01
2019-02-17,468027,2019-02-17,2018-05-01
2019-02-17,448905,2019-02-17,2018-06-01
2019-02-17,446457,2019-02-17,2018-07-01
2019-02-17,461392,2019-02-17,2018-08-01
2019-02-17,423123,2019-02-17,2018-09-01
2019-02-17,446615,2019-02-17,2018-10-01
2019-02-17,466746,2019-02-17,2018-11-01
